id_solicitante,produto_solicitado,dia_vencimento,forma_envio_solicitacao,tipo_endereco,sexo,idade,estado_civil,qtde_dependentes,grau_instrucao,nacionalidade,estado_onde_nasceu,estado_onde_reside,possui_telefone_residencial,codigo_area_telefone_residencial,tipo_residencia,meses_na_residencia,possui_telefone_celular,possui_email,renda_mensal_regular,renda_extra,possui_cartao_visa,possui_cartao_mastercard,possui_cartao_diners,possui_cartao_amex,possui_outros_cartoes,qtde_contas_bancarias,qtde_contas_bancarias_especiais,valor_patrimonio_pessoal,possui_carro,vinculo_formal_com_empresa,estado_onde_trabalha,possui_telefone_trabalho,codigo_area_telefone_trabalho,meses_no_trabalho,profissao,ocupacao,profissao_companheiro,grau_instrucao_companheiro,local_onde_reside,local_onde_trabalha
40001,1,5,internet,1,F,32,6,1,0,1,RN,RN,Y,105,1.0,15.0,N,1,900.0,0.0,1,1,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,4.0,,,595.0,595.0
40002,1,15,correio,1,F,34,2,0,0,1,RJ,RJ,Y,20,1.0,1.0,N,1,750.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,N, ,0,11.0,4.0,11.0,,230.0,230.0
40003,1,25,internet,1,F,36,2,0,0,1,CE,CE,Y,107,1.0,10.0,N,1,200.0,0.0,0,1,0,0,0,0,0,0.0,0,Y, ,N, ,0,9.0,4.0,,,607.0,607.0
40004,1,25,internet,1,F,41,1,1,0,1,MG,MG,Y,39,1.0,2.0,N,1,380.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,394.0,394.0
40005,1,1,internet,1,M,58,2,2,0,1,CE,CE,Y,107,1.0,10.0,N,1,1992.9,0.0,0,0,0,0,0,0,0,0.0,0,Y,CE,N, ,0,9.0,2.0,,,603.0,603.0
40006,1,5,internet,1,F,42,1,0,0,1,CE,CE,Y,107,1.0,,N,1,748.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,4.0,,,605.0,605.0
40007,1,5,internet,1,F,32,1,0,0,1,SP,SP,Y,5,1.0,3.0,N,1,1500.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,Y,5,0,,,,,847.0,847.0
40008,1,15,presencial,1,M,58,2,0,0,0, ,CE,Y,107,2.0,0.0,N,1,350.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,CE,Y,107,0,11.0,2.0,11.0,0.0,616.0,616.0
40009,1,10,internet,1,M,60,2,0,0,1,MA,CE,Y,107,1.0,10.0,N,1,278.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,2.0,1.0,,,603.0,603.0
40010,1,25,presencial,1,F,45,1,1,0,1,BA,SP,Y,5,1.0,2.0,N,1,387.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,SP,Y,5,0,9.0,2.0,0.0,0.0,586.0,586.0
40011,1,10,presencial,1,M,56,7,1,0,1,RS,RS,Y,58,1.0,3.0,N,0,1262.0,0.0,0,1,0,0,0,0,0,80.0,1,N, ,N, ,0,9.0,1.0,0.0,0.0,961.0,961.0
40012,1,10,internet,1,M,60,2,1,0,1,RN,RN,Y,105,1.0,7.0,N,1,261.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,1.0,,,591.0,591.0
40013,1,10,presencial,1,F,53,4,1,0,1,AC,PR,Y,40,1.0,1.0,N,1,1101.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,N, ,0,11.0,1.0,11.0,,810.0,810.0
40014,2,5,internet,1,M,31,1,0,0,1,MG,MG,N, ,1.0,20.0,N,1,542.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,MG,Y,33,0,9.0,2.0,,,374.0,374.0
40015,1,25,correio,1,F,37,1,0,0,1,BA,BA,Y,86,1.0,1.0,N,1,591.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,11.0,5.0,11.0,,444.0,444.0
40016,7,15,presencial,1,F,55,1,1,0,1,BA,BA,Y,86,1.0,25.0,N,0,3000.0,0.0,1,0,0,0,0,1,1,150000.0,1,N, ,N, ,0,9.0,4.0,0.0,0.0,440.0,440.0
40017,1,10,internet,1,F,67,1,0,0,1,BA,MT,Y,71,1.0,15.0,N,1,351.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,4.0,,,780.0,780.0
40018,1,5,presencial,1,M,61,2,0,0,1,RS,RS,N, ,1.0,4.0,N,0,1319.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,11.0,1.0,0.0,0.0,960.0,960.0
40019,1,25,presencial,1,F,84,1,0,0,1,PE,PE,N, ,1.0,5.0,N,0,422.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,1.0,0.0,0.0,558.0,558.0
40020,1,10,internet,1,F,42,2,1,0,1,BA,GO,N, ,1.0,,N,1,379.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,GO,N, ,0,9.0,2.0,,,759.0,759.0
40021,1,20,internet,1,F,25,1,0,0,1,PE,PE,Y,97,1.0,12.0,N,1,300.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,545.0,545.0
