id_solicitante,inadimplente
40001,0
40002,1
40003,0
40004,1
40005,0
40006,1
40007,0
40008,1
40009,0
40010,1
40011,0
40012,1
40013,0
40014,1
40015,0
40016,1
40017,0
40018,1
40019,0
40020,1
40021,0
40022,1
40023,0
40024,1
40025,0
40026,1
40027,0
40028,1
40029,0
40030,1
40031,0
40032,1
40033,0
40034,1
40035,0
40036,1
40037,0
40038,1
40039,0
40040,1
40041,0
40042,1
40043,0
40044,1
40045,0
40046,1
40047,0
40048,1
40049,0
40050,1
40051,0
40052,1
40053,0
40054,1
40055,0
40056,1
40057,0
40058,1
40059,0
40060,1
40061,0
40062,1
40063,0
40064,1
40065,0
40066,1
40067,0
40068,1
40069,0
40070,1
40071,0
40072,1
40073,0
40074,1
40075,0
40076,1
40077,0
40078,1
40079,0
40080,1
40081,0
40082,1
40083,0
40084,1
40085,0
40086,1
40087,0
40088,1
40089,0
40090,1
40091,0
40092,1
40093,0
40094,1
40095,0
40096,1
40097,0
40098,1
40099,0
40100,1
40101,0
40102,1
40103,0
40104,1
40105,0
40106,1
40107,0
40108,1
40109,0
40110,1
40111,0
40112,1
40113,0
40114,1
40115,0
40116,1
40117,0
40118,1
40119,0
40120,1
40121,0
40122,1
40123,0
40124,1
40125,0
40126,1
40127,0
40128,1
40129,0
40130,1
40131,0
40132,1
40133,0
40134,1
40135,0
40136,1
40137,0
40138,1
40139,0
40140,1
40141,0
40142,1
40143,0
40144,1
40145,0
40146,1
40147,0
40148,1
40149,0
40150,1
40151,0
40152,1
40153,0
40154,1
40155,0
40156,1
40157,0
40158,1
40159,0
40160,1
40161,0
40162,1
40163,0
40164,1
40165,0
40166,1
40167,0
40168,1
40169,0
40170,1
40171,0
40172,1
40173,0
40174,1
40175,0
40176,1
40177,0
40178,1
40179,0
40180,1
40181,0
40182,1
40183,0
40184,1
40185,0
40186,1
40187,0
40188,1
40189,0
40190,1
40191,0
40192,1
40193,0
40194,1
40195,0
40196,1
40197,0
40198,1
40199,0
40200,1
40201,0
40202,1
40203,0
40204,1
40205,0
40206,1
40207,0
40208,1
40209,0
40210,1
40211,0
40212,1
40213,0
40214,1
40215,0
40216,1
40217,0
40218,1
40219,0
40220,1
40221,0
40222,1
40223,0
40224,1
40225,0
40226,1
40227,0
40228,1
40229,0
40230,1
40231,0
40232,1
40233,0
40234,1
40235,0
40236,1
40237,0
40238,1
40239,0
40240,1
40241,0
40242,1
40243,0
40244,1
40245,0
40246,1
40247,0
40248,1
40249,0
40250,1
40251,0
40252,1
40253,0
40254,1
40255,0
40256,1
40257,0
40258,1
40259,0
40260,1
40261,0
40262,1
40263,0
40264,1
40265,0
40266,1
40267,0
40268,1
40269,0
40270,1
40271,0
40272,1
40273,0
40274,1
40275,0
40276,1
40277,0
40278,1
40279,0
40280,1
40281,0
40282,1
40283,0
40284,1
40285,0
40286,1
40287,0
40288,1
40289,0
40290,1
40291,0
40292,1
40293,0
40294,1
40295,0
40296,1
40297,0
40298,1
40299,0
40300,1
40301,0
40302,1
40303,0
40304,1
40305,0
40306,1
40307,0
40308,1
40309,0
40310,1
40311,0
40312,1
40313,0
40314,1
40315,0
40316,1
40317,0
40318,1
40319,0
40320,1
40321,0
40322,1
40323,0
40324,1
40325,0
40326,1
40327,0
40328,1
40329,0
40330,1
40331,0
40332,1
40333,0
40334,1
40335,0
40336,1
40337,0
40338,1
40339,0
40340,1
40341,0
40342,1
40343,0
40344,1
40345,0
40346,1
40347,0
40348,1
40349,0
40350,1
40351,0
40352,1
40353,0
40354,1
40355,0
40356,1
40357,0
40358,1
40359,0
40360,1
40361,0
40362,1
40363,0
40364,1
40365,0
40366,1
40367,0
40368,1
40369,0
40370,1
40371,0
40372,1
40373,0
40374,1
40375,0
40376,1
40377,0
40378,1
40379,0
40380,1
40381,0
40382,1
40383,0
40384,1
40385,0
40386,1
40387,0
40388,1
40389,0
40390,1
40391,0
40392,1
40393,0
40394,1
40395,0
40396,1
40397,0
40398,1
40399,0
40400,1
40401,0
40402,1
40403,0
40404,1
40405,0
40406,1
40407,0
40408,1
40409,0
40410,1
40411,0
40412,1
40413,0
40414,1
40415,0
40416,1
40417,0
40418,1
40419,0
40420,1
40421,0
40422,1
40423,0
40424,1
40425,0
40426,1
40427,0
40428,1
40429,0
40430,1
40431,0
40432,1
40433,0
40434,1
40435,0
40436,1
40437,0
40438,1
40439,0
40440,1
40441,0
40442,1
40443,0
40444,1
40445,0
40446,1
40447,0
40448,1
40449,0
40450,1
40451,0
40452,1
40453,0
40454,1
40455,0
40456,1
40457,0
40458,1
40459,0
40460,1
40461,0
40462,1
40463,0
40464,1
40465,0
40466,1
40467,0
40468,1
40469,0
40470,1
40471,0
40472,1
40473,0
40474,1
40475,0
40476,1
40477,0
40478,1
40479,0
40480,1
40481,0
40482,1
40483,0
40484,1
40485,0
40486,1
40487,0
40488,1
40489,0
